callsign,Column1,icao24,origin,destination,firstseen
UAL102,,a8c121,KIAH,EDDM,2/29/2020
DAL1596,,a35a92,KLAX,KMCI,2/29/2020
ENY4080,,aaff9a,KDFW,,2/29/2020
NKS1146,,a8352b,KATL,KDFW,2/29/2020
ENY3561,,a1e23a,KORD,,2/29/2020
SKW3280,,a9614d,KDFW,,2/29/2020
FFT539,,a3f07f,KDCA,60CO,2/29/2020
SKW5066,,ac9fbe,KORD,WV28,2/29/2020
DAL2550,,adf0b1,KATL,CYYZ,2/29/2020
AAL575,,a95dd3,KBOS,KPHL,2/29/2020
AAL779,,ace5b6,KDFW,KDTW,2/29/2020
DAL2907,,a423c4,KORD,,2/29/2020
EDV4777,,a08317,KATL,,2/29/2020
SWA4592,,a5d5ae,KPHX,KSNA,2/29/2020
DAL1956,,a4105b,KATL,KMIA,2/29/2020
DAL1934,,a4a0cd,KATL,KMSP,2/29/2020
ASA1809,,a5c899,KSFO,KSEA,2/29/2020
SWA3312,,a993fc,KPHX,KDTW,2/29/2020
ASH6084,,ab3edd,KIAH,KATL,2/29/2020
DAL852,,a3a5ec,KATL,KDTW,2/29/2020
UAL1735,,a3c775,KSFO,KIAH,2/29/2020
SWA5286,,abad6c,KPHX,KMCF,2/29/2020
AAL1649,,a02088,KDCA,,2/29/2020
AAL1682,,ab586f,KORD,KATL,2/29/2020
AAL2233,,ac7581,KDFW,,2/29/2020
DAL130,,ab60e3,KATL,EDDM,2/29/2020
SKW3104,,aa31ed,KORD,KMCI,2/29/2020
RPA4502,,a06703,KDCA,KMSP,2/29/2020
DAL2946,,ad5c7c,KATL,KCMH,2/29/2020
AAL1284,,acdd1b,KDFW,KFAT,2/29/2020
AAL2501,,ad99fc,KORD,KDFW,2/29/2020
GTI2881,,a62ee6,PANC,KDFW,2/29/2020
ASA559,,a5320b,KSEA,KSEA,2/29/2020
RPA4704,,a4e8ef,KDCA,KCMH,2/29/2020
DAL313,,a3323f,KATL,,2/29/2020
ASH5746,,a24b0a,KDFW,KPHX,2/29/2020
AAL80,,aa6ccb,KDFW,EGLL,2/29/2020
JBU1027,,a2c8b5,KBOS,KBWI,2/29/2020
AAL1175,,a0e7f4,KDFW,KSFO,2/29/2020
UAL410,,a5954e,KATL,KEWR,2/29/2020
AFR137,,396445,KORD,LFPG,2/29/2020
AAL2735,,ad3c16,KDFW,KSJC,2/29/2020
UAL901,,a1f557,KSFO,EGLL,2/29/2020
JIA5664,,a223d7,KDCA,,2/29/2020
AAL603,,a4c2f8,KPHX,,2/29/2020
ACA553,,c0480f,KLAX,CYYC,2/29/2020
AAL381,,aa3226,KDFW,,2/29/2020
