callsign,,icao24,origin,destination,firstseen
NKS868,,a90bdb,KLAX,KDFW,2/1/2020
UAL1776,,a1d63d,KIAH,KPHL,2/1/2020
UAL1012,,a94b72,KIAH,KSFO,2/1/2020
AAL2468,,a10bbc,KDFW,KSFO,2/1/2020
UAL782,,a03618,KORD,KDFW,2/1/2020
ASA1348,,a5521c,KSEA,KSJC,2/1/2020
LOF4667,,a0a901,KORD,KSDF,2/1/2020
DAL2637,,a44548,KSEA,KLAS,2/1/2020
ASA649,,a360e3,KPHX,KSEA,2/1/2020
UAL640,,a885f4,KORD,KPHL,2/1/2020
NKS313,,a8bcdd,KDTW,KDFW,2/1/2020
AAL577,,a098f6,KDFW,KDEN,2/1/2020
SWA2130,,a4dd8f,KPHX,KLAS,2/1/2020
UPS1481,,a2c604,KDTW,KSDF,2/1/2020
AAL633,,a1a2b6,KPHX,KDFW,2/1/2020
FFT1426,,a2107b,KPHX,KORD,2/1/2020
UAL2100,,aaa5d4,KIAH,KFLL,2/1/2020
ASA1943,,a6ce36,KLAX,KSFO,2/1/2020
AAL403,,a71b43,KPHX,KORD,2/1/2020
SWA1764,,a302a0,KLAX,KSFO,2/1/2020
DAL1836,,abfa65,KLAX,KSEA,2/1/2020
UPS903,,a36a10,KLAX,KSDF,2/1/2020
DAL2201,,a486d8,KDTW,KPHL,2/1/2020
UAL1242,,aac954,KIAH,KDFW,2/1/2020
ASA1793,,a2deb3,KLAX,KSEA,2/1/2020
ASA1756,,a2d745,KSEA,KSFO,2/1/2020
FFT2135,,a21f57,KDFW,KLAS,2/1/2020
UAL670,,a44565,KORD,KBOS,2/1/2020
DAL2226,,abaf1e,KLAX,KSFO,2/1/2020
ASA1636,,a86717,KSEA,KLAS,2/1/2020
AAL2106,,acbffd,KPHX,KLAS,2/1/2020
UAL1883,,a1235b,KORD,KSJC,2/1/2020
AAL2484,,adf068,KLAX,KDFW,2/1/2020
UPS857,,a114ed,KPHX,KSDF,2/1/2020
SKW5483,,a1a63d,KDFW,KSFO,2/1/2020
UAL283,,a085a4,KLAX,KSFO,2/1/2020
AAL1271,,a9f818,KIAH,KDFW,2/1/2020
DAL1010,,a3a222,KLAX,KPDX,2/1/2020
SWA1318,,abbc52,KPHX,KPDX,2/1/2020
AAL892,,aa4ac9,KLAX,KSFO,2/1/2020
SWA188,,a582f9,KLAX,KSJC,2/1/2020
UPS613,,a09ab9,KORD,KSDF,2/1/2020
UPS771,,a42bd4,KIAH,KSDF,2/1/2020
UAL2074,,a5adf1,KSEA,KSFO,2/1/2020
CPZ5695,,a83e06,KSEA,KSJC,2/1/2020
ASA604,,a59d63,KSEA,KLAS,2/1/2020
AAL2108,,a8aa87,KPHX,KSJC,2/1/2020
UPS601,,a3d91f,KORD,KSDF,2/1/2020
QXE2063,,a4ae15,KSEA,KPDX,2/1/2020
AAL2738,,ac407d,KORD,KDFW,2/1/2020
ASA349,,a2a686,KLAX,KSEA,2/1/2020
SWA1733,,abe82c,KPHX,KSEA,2/1/2020
SKW2991,,aa3bf0,KORD,KSDF,2/1/2020
AAL312,,a15516,KLAX,KLAS,2/1/2020
QXE2061,,a891e5,KSEA,KPDX,2/1/2020
ASA1933,,ab7437,KLAX,KSFO,2/1/2020
ASA1092,,a29908,KSEA,KSFO,2/1/2020
AAL756,,aae5a9,KLAX,KSJC,2/1/2020
ASA322,,a526e6,KSEA,KSJC,2/1/2020
JBU1224,,adb35c,KLAX,KJFK,2/1/2020
AAL2394,,a0f566,KDFW,KSEA,2/1/2020
UPS765,,a2b728,KDFW,KSDF,2/1/2020
AAL1290,,ac5cd7,KPHX,KLAS,2/1/2020
SWA2008,,aac118,KPHX,KSJC,2/1/2020
DAL1162,,a124b5,KLAX,KJFK,2/1/2020
DAL2388,,acb878,KLAX,KSEA,2/1/2020
UPS605,,a333b5,KORD,KSDF,2/1/2020
ASA1094,,a7486a,KSEA,KSFO,2/1/2020
AAL1763,,a403df,KLAX,KLAS,2/1/2020
SWA2114,,a5540c,KSEA,KSJC,2/1/2020
DAL2064,,a446aa,KSEA,KLAS,2/1/2020
NKS310,,acce3c,KLAX,KFLL,2/1/2020
AAL712,,ab2729,KLAX,KSEA,2/1/2020
UAL2201,,a56dcf,KLAX,KSFO,2/1/2020
JBU602,,ab4f5d,KPHX,KBOS,2/1/2020
SWA1567,,aaa107,KLAX,KLAS,2/1/2020
QXE2172,,a8881e,KLAX,KSJC,2/1/2020
DAL1332,,ac8d3c,KLAX,KSFO,2/1/2020
SWA419,,aa159e,KPHX,KSFO,2/1/2020
ASA557,,a61797,KLAX,KPDX,2/1/2020
DAL2379,,a37e5a,KSEA,KPDX,2/1/2020
DAL2962,,ac30c0,KLAX,KLAS,2/1/2020
CPZ5731,,a8019b,KLAX,KSJC,2/1/2020
SWA1757,,a9807d,KLAX,KSFO,2/1/2020
CPZ6044,,a1c229,KLAX,KPDX,2/1/2020
AAL981,,acb9ed,KLAX,KPHL,2/1/2020
CPZ6095,,a1d4bc,KLAX,KSJC,2/1/2020
SWA577,,aa77c0,KPHX,KLAS,2/1/2020
AAL10,,a01112,KLAX,KJFK,2/1/2020
SWA2092,,a5d1f7,KLAX,KSJC,2/1/2020
ASA470,,a78ffa,KLAX,KJFK,2/1/2020
JBU988,,ad1cde,KLAX,KBOS,2/1/2020
JBU2850,,a7ad0d,SEAS,KFLL,2/1/2020
JBU264,,acf54f,KSEA,KJFK,2/1/2020
AAL2455,,a1057a,KLAX,KBOS,2/1/2020
AAL2588,,ad4afe,KPHX,KBOS,2/1/2020
ASA608,,a1c868,KSEA,KLAS,2/1/2020
CPZ6085,,a1a5cf,KLAX,KSFO,2/1/2020
AAL1658,,ad35e0,KPHX,KPHL,2/1/2020
AAL1280,,adda1e,KPHX,KJFK,2/1/2020
SKW3313,,a4c0db,KLAX,KSFO,2/1/2020
ASA1653,,accee2,KLAX,KSEA,2/1/2020
JBU100,,add734,KLAX,KFLL,2/1/2020
DAL9943,,a6d9bf,KLAX,KSEA,2/1/2020
DAL2224,,a4463e,KSEA,KBOS,2/1/2020
DAL2621,,a05b7e,KSEA,KSFO,2/1/2020
ASA865,,a67f38,KLAX,KFLL,2/1/2020
AAL256,,a1463a,KLAX,KPHL,2/1/2020
ASA484,,a2d38e,KLAX,KLAS,2/1/2020
UAL2402,,a0a903,KLAX,KBOS,2/1/2020
AAL1339,,ad6758,KLAX,KLAS,2/1/2020
DAL1908,,a12861,KLAX,KJFK,2/1/2020
AAL564,,ad857e,KSEA,KPHL,2/1/2020
JBU136,,aa600a,KPHX,KJFK,2/1/2020
ASA1758,,a81f87,KSEA,KSFO,2/1/2020
UAL398,,a4cfd3,KLAX,KSFO,2/1/2020
UAL2291,,a923a8,KLAX,KORD,2/1/2020
DAL2932,,a9a901,KLAX,KBOS,2/1/2020
DAL1391,,a3f88e,KSEA,KPDX,2/1/2020
AAL28,,a023a5,KLAX,KJFK,2/1/2020
ASA106,,a682ef,PANC,KSEA,2/1/2020
QXE2566,,a4c0a8,KSEA,KPDX,2/1/2020
AAL2651,,ad63a1,KPHX,KJFK,2/1/2020
JBU1158,,a6a00b,KPHX,KFLL,2/1/2020
